,cod_ship,Order ID,Order Date,Ship Date,Ship Mode,City
0,1,CA-2017-152156,08/11/2017,11/11/2017,Second Class,Henderson
1,2,CA-2017-138688,12/06/2017,16/06/2017,Second Class,Los Angeles
2,3,US-2016-108966,11/10/2016,18/10/2016,Standard Class,Fort Lauderdale
3,4,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,Los Angeles
4,5,CA-2018-114412,15/04/2018,20/04/2018,Standard Class,Concord
5,6,CA-2017-161389,05/12/2017,10/12/2017,Standard Class,Seattle
6,7,US-2016-118983,22/11/2016,26/11/2016,Standard Class,Fort Worth
7,8,CA-2015-105893,11/11/2015,18/11/2015,Standard Class,Madison
8,9,CA-2015-167164,13/05/2015,15/05/2015,Second Class,West Jordan
9,10,CA-2015-143336,27/08/2015,01/09/2015,Second Class,San Francisco
10,11,CA-2017-137330,09/12/2017,13/12/2017,Standard Class,Fremont
11,12,US-2018-156909,16/07/2018,18/07/2018,Second Class,Philadelphia
12,13,CA-2016-106320,25/09/2016,30/09/2016,Standard Class,Orem
13,14,CA-2017-121755,16/01/2017,20/01/2017,Second Class,Los Angeles
14,15,US-2016-150630,17/09/2016,21/09/2016,Standard Class,Philadelphia
15,16,CA-2018-107727,19/10/2018,23/10/2018,Second Class,Houston
16,17,CA-2017-117590,08/12/2017,10/12/2017,First Class,Richardson
17,18,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,Houston
18,19,CA-2018-120999,10/09/2018,15/09/2018,Standard Class,Naperville
19,20,CA-2017-101343,17/07/2017,22/07/2017,Standard Class,Los Angeles
20,21,CA-2018-139619,19/09/2018,23/09/2018,Standard Class,Melbourne
21,22,CA-2017-118255,11/03/2017,13/03/2017,First Class,Eagan
22,23,CA-2015-146703,20/10/2015,25/10/2015,Second Class,Westland
23,24,CA-2017-169194,20/06/2017,25/06/2017,Standard Class,Dover
24,25,CA-2016-115742,18/04/2016,22/04/2016,Standard Class,New Albany
25,26,CA-2017-105816,11/12/2017,17/12/2017,Standard Class,New York City
26,27,CA-2017-111682,17/06/2017,18/06/2017,First Class,Troy
27,28,CA-2016-135545,24/11/2016,30/11/2016,Standard Class,Los Angeles
28,29,US-2016-164175,30/04/2016,05/05/2016,Standard Class,Chicago
29,30,CA-2015-106376,05/12/2015,10/12/2015,Standard Class,Gilbert
30,31,CA-2017-119823,04/06/2017,06/06/2017,First Class,Springfield
31,32,CA-2017-106075,18/09/2017,23/09/2017,Standard Class,New York City
32,33,CA-2018-114440,14/09/2018,17/09/2018,Second Class,Jackson
33,34,US-2016-134026,26/04/2016,02/05/2016,Standard Class,Memphis
34,35,US-2018-118038,09/12/2018,11/12/2018,First Class,Houston
35,36,US-2015-147606,26/11/2015,01/12/2015,Second Class,Houston
36,37,CA-2017-127208,12/06/2017,15/06/2017,First Class,Decatur
37,38,CA-2015-139451,12/10/2015,16/10/2015,Standard Class,San Francisco
38,39,CA-2016-149734,03/09/2016,08/09/2016,Standard Class,Durham
39,40,US-2018-119662,13/11/2018,16/11/2018,First Class,Chicago
40,41,CA-2018-140088,28/05/2018,30/05/2018,Second Class,Columbia
41,42,CA-2018-155558,26/10/2018,02/11/2018,Standard Class,Rochester
42,43,CA-2017-159695,05/04/2017,10/04/2017,Second Class,Houston
