,cod_id,cod_address,cod_customer,cod_ship,cod_prod,cod_sales
0,1,1,1,1,1,1
1,3221,308,322,3221,1612,1
2,2688,26,521,2688,1,3044
3,1990,95,706,1990,1230,3044
4,4301,12,278,4301,1,5278
5,4668,249,152,4668,1,2318
6,3012,365,341,3012,546,2318
7,1422,116,668,1422,546,2318
8,1890,24,669,1890,1230,2318
9,1,1,1,1,2,2
10,2417,1,534,2417,2,3506
11,2403,512,508,2403,2,3506
12,3042,271,728,3042,2,4143
13,4510,84,47,4510,2,5447
14,3677,427,75,3677,2,4744
15,1989,182,732,1989,2,3043
16,4469,33,198,4469,863,3043
17,3749,208,206,3749,2,4828
18,2548,30,225,2548,2,3670
19,2344,46,115,2344,2,3445
20,72,57,69,72,2,147
21,2727,189,581,2727,2,2240
22,1354,61,230,1354,1443,2240
23,2739,33,1,2739,76,1319
24,4747,78,669,4747,76,1319
25,718,35,72,718,110,1319
26,4427,93,48,4427,76,3882
27,2783,95,141,2783,76,3882
28,3037,46,278,3037,76,4131
29,4835,289,647,4835,76,5694
30,35,17,34,35,76,78
31,56,47,53,56,110,78
32,2664,10,482,2664,1295,78
33,1526,382,683,1526,76,2439
34,3412,163,1,3412,867,4503
35,2596,210,36,2596,867,3717
36,1106,370,157,1106,867,1042
37,556,46,112,556,867,1042
38,3412,163,1,3412,1094,753
39,3279,48,56,3279,130,753
40,4563,33,16,4563,1556,753
41,4368,7,180,4368,1227,753
42,975,330,530,975,1227,753
43,383,12,204,383,658,753
44,4901,27,213,4901,1431,753
45,1065,363,584,1065,1094,1818
46,1850,165,577,1850,1296,1818
47,3460,38,64,3460,1632,1818
48,1699,96,167,1699,658,1818
49,1329,25,307,1329,160,1818
50,3272,60,653,3272,1094,3764
51,3150,46,483,3150,717,3764
52,2647,129,610,2647,1431,3764
53,800,95,512,800,1094,519
54,4156,602,523,4156,1296,519
55,1103,26,595,1103,1296,519
56,4660,30,256,4660,584,519
57,2729,148,701,2729,1556,519
58,1382,366,491,1382,1227,519
59,3259,2,47,3259,486,519
60,3075,29,463,3075,486,519
61,256,46,217,256,486,519
62,846,145,299,846,160,519
63,251,1,214,251,478,510
64,3803,349,773,3803,478,510
65,1577,165,417,1577,478,2519
66,3954,596,12,3954,1165,2519
67,4582,370,505,4582,478,5496
68,3862,337,168,3862,478,2573
69,1628,14,696,1628,24,2573
70,4069,394,679,4069,478,2376
71,1472,219,673,1472,24,2376
72,251,1,214,251,479,511
73,373,198,304,373,479,511
74,2444,50,583,2444,1553,511
75,1006,348,568,1006,370,511
76,4015,362,623,4015,479,5074
77,1558,111,256,1558,479,2494
78,3667,12,104,3667,479,2494
79,1800,10,605,1800,479,2799
80,3439,46,539,3439,1567,2799
81,4128,600,520,4128,479,1368
82,3600,4,642,3600,1053,1368
83,760,38,53,760,1053,1368
84,1853,96,113,1853,1053,1368
85,3066,113,529,3066,1567,1368
86,1758,48,278,1758,479,2743
87,2608,528,125,2608,479,2743
88,1860,67,679,1860,1180,2743
89,3497,64,278,3497,479,4579
90,3750,27,263,3750,1666,4579
91,2848,24,509,2848,479,3948
92,3761,24,665,3761,57,3948
93,3906,155,593,3906,1567,3948
94,1468,290,672,1468,479,2372
95,2371,250,660,2371,479,3465
96,1898,49,723,1898,479,2933
97,2560,55,696,2560,57,2933
98,3269,142,720,3269,57,2933
99,3559,35,269,3559,1180,2933
100,3548,518,677,3548,479,1714
101,3536,60,3,3536,1553,1714
102,1671,122,509,1671,1553,1714
103,4036,599,663,4036,637,1714
104,989,6,508,989,637,1714
105,1826,61,680,1826,1480,1714
106,2003,27,214,2003,772,3063
107,2291,85,3,2291,772,3382
108,4859,35,693,4859,772,2106
109,1259,13,613,1259,772,2106
110,1292,63,641,1292,772,2106
111,2125,60,377,2125,772,2106
112,4888,61,433,4888,772,5729
113,482,222,363,482,772,905
114,2574,35,214,2574,1753,3698
115,3691,64,35,3691,1098,3698
116,4630,32,200,4630,1753,5542
117,4054,330,214,4054,1609,5097
118,4744,24,513,4744,1609,4208
119,3109,59,457,3109,1294,4208
120,3264,129,565,3264,1609,4368
121,4093,174,432,4093,1609,5135
122,1881,89,720,1881,1609,2900
123,3101,562,214,3101,207,219
124,107,83,103,107,207,219
125,3649,86,702,3649,207,4718
126,3393,379,394,3393,207,21
127,2651,165,611,2651,681,21
128,354,157,293,354,568,21
129,782,14,124,782,568,21
130,2881,343,287,2881,568,21
131,10,10,10,10,21,21
132,1696,26,53,1696,21,21
